caseid,gend_gendobs,finance_finpast,libcpre_self,ineq_incgap,effic_saystd,effic_complicrev,guarpr_self,trustgov_trustgrev,relig_pray,dem_birthyr,dem_marital,zipcode
1332,2,3,4,1,3,-1,1,-1,1,1975,4,73301
649,2,3,5,1,2,-1,1,-1,2,1939,3,74103
1189,2,1,4,1,4,-1,4,-1,1,1958,5,99458
1262,2,2,4,1,4,-1,5,-1,1,1962,2,99854
1408,2,1,5,1,1,-1,5,-1,4,1980,1,33663
1051,2,3,-2,1,-1,2,1,3,5,1947,4,91037
829,1,2,5,3,4,-1,5,-1,5,1940,4,28304
1640,2,2,-2,-8,4,-1,1,-1,3,1982,6,47209
1485,1,3,4,1,3,-1,-8,-1,5,1926,3,63819
1809,1,1,-2,1,-1,4,1,5,1,1983,6,44880
1813,1,1,5,3,-1,1,5,5,1,1986,1,13434
433,2,3,-8,-8,1,-1,1,-1,1,1922,3,87926
522,2,1,5,1,-1,4,2,2,1,1959,5,32261
1643,2,2,6,1,-1,3,6,3,1,1979,1,61339
1764,2,3,4,1,4,-1,7,-1,4,1959,3,56329
361,2,1,4,-8,3,-1,-2,-1,1,1942,3,37919
133,2,1,3,1,4,-1,4,-1,2,1965,4,54087
1204,1,1,6,1,1,-1,4,-1,3,1982,5,14827
211,2,1,5,3,-1,5,6,4,1,1977,2,59527
1383,2,1,2,1,-1,5,2,4,3,1986,6,47394
677,2,2,4,1,-1,4,5,3,2,1982,4,61318
1755,2,1,3,1,2,-1,4,-1,1,1942,4,57660
125,1,2,7,1,-1,3,7,4,3,1941,1,67599
4,2,1,-2,3,1,-1,4,-1,3,1958,4,78762
1396,2,1,6,3,-1,2,5,4,3,1944,1,66484
48,1,2,6,3,-1,4,7,4,5,1950,4,24456
1200,2,1,4,1,-1,2,6,4,1,1960,4,17298
2006,2,1,5,1,-1,2,5,4,3,1971,4,86469
1741,2,1,2,1,1,-1,2,-1,1,1979,1,72808
814,2,2,3,3,3,-1,4,-1,5,1978,4,46209
576,2,3,4,1,-1,4,4,3,1,1979,4,23900
1866,1,2,-2,1,1,-1,-2,-1,5,1946,4,99966
1208,1,1,4,1,-1,4,1,3,2,1982,6,61378
622,2,1,2,1,3,-1,1,-1,3,1981,6,92852
1571,2,1,4,3,-1,3,4,5,1,1992,1,38473
1831,2,2,5,1,5,-1,4,-1,1,1988,5,73476
1584,2,1,5,3,-1,3,7,5,1,1962,4,36239
3037,-1,2,4,2,2,-1,2,-1,1,1962,1,47362
3260,-1,1,3,1,-1,3,3,4,5,1968,6,88524
3469,-1,1,4,2,3,-1,3,-1,3,1992,6,61453
847,2,1,-2,3,-1,4,7,3,1,1953,6,79860
4166,-1,2,3,3,-1,4,3,4,4,1969,1,50286
4087,-1,2,3,3,-1,3,4,4,3,1951,6,49096
